,PC1,PC2,PC3,Cluster
7ZOZ_2|H|antigen_species=homo,-17.77491855277269,-0.03832280757483483,-2.2571567875300156,1
7ZOZ_3|L|antigen_species=homo,19.20132923965741,2.4260001718765096,-0.6454060638569672,0
"6PE8_1|A,H|antigen_species=homo",-20.560190634510498,1.775447251329258,2.087733052972183,1
"6PE8_2|B,L|antigen_species=homo",19.858486003539184,2.790910922316594,-0.32951371659429357,0
8IVX_2|H|antigen_species=homo,-14.320396080765608,-2.1255242042692495,-1.7852952147528225,1
8IVX_3|L|antigen_species=homo,16.036371716199493,-1.6864522043040249,-0.9726637996689697,0
"6VMK_1|C,F,I,N,Q,T,W,X,a,d,g,j,m,p,s,v|antigen_species=unknown",-2.7657439154908636,-9.136255699319502,-5.795651473936518,1
"6VMK_2|A,D,G,J,L,O,R,U,Y,b,e,h,k,n,q,t|antigen_species=homo",20.602353525291864,3.5878019826268472,-0.11590343363635248,0
"6VMK_3|B,E,H,K,M,P,S,V,Z,c,f,i,l,o,r,u|antigen_species=homo",-19.290710014523704,0.8546761844577014,-2.025093180988362,1
"8IVW_2|B,E,H,K|antigen_species=homo",-17.321433011023096,-0.3563047268074612,-2.7005785730514518,1
"8IVW_3|C,F,I,L|antigen_species=homo",20.905834046002784,3.5320745313129676,0.14383348203173058,0
"6MHR_1|A,D|antigen_species=homo",-17.441172918653805,-0.1801854319128253,-0.8364703790067304,1
"6MHR_2|B,E|antigen_species=homo",20.63032163300723,3.4648115098214607,-0.057449716694252695,0
5GGT_2|H|antigen_species=homo,-18.714532115363458,0.4939441226979946,-2.529849427480752,1
5GGT_3|L|antigen_species=homo,20.79497440578674,3.647321554543644,-0.01861297635351036,0
"4KXZ_2|H,J,N,Q|antigen_species=homo",-17.798352969464037,-0.07832890070039064,-2.720252064203094,1
"4KXZ_3|I,L,M,P|antigen_species=homo",20.408808250279133,3.198608636471547,-0.10179118142788775,0
3LQA_3|H|antigen_species=hiv-1,-18.293093429711767,0.2587284618828332,-2.3461828396370095,1
3LQA_4|L|antigen_species=hiv-1,13.690570924781166,-9.61858970167995,1.159501475844881,0
8WU1_2|H|antigen_species=bos,-20.275061266503872,1.5983436844819146,1.8271160748410615,1
8WU1_3|L|antigen_species=bos,21.006392241894574,3.867333615547015,0.06460778524097907,0
7YDS_2|B|antigen_species=homo,-19.938276028374084,1.3865665281667636,1.4894849049576748,1
