6MI2_B	7462d08ddfb9199a61ea770a6a2864be	214	SMART	SM00406	igv1_8	17	89	1.3E-17	T	04-07-2025	IPR013106	Immunoglobulin V-set domain	-	-
6MI2_B	7462d08ddfb9199a61ea770a6a2864be	214	SMART	SM00409	IG_3c	7	108	6.7E-13	T	04-07-2025	IPR003599	Immunoglobulin domain subtype	-	-
6MI2_B	7462d08ddfb9199a61ea770a6a2864be	214	SMART	SM00409	IG_3c	121	209	48.0	T	04-07-2025	IPR003599	Immunoglobulin domain subtype	-	-
6MI2_B	7462d08ddfb9199a61ea770a6a2864be	214	SMART	SM00407	igc1_4	131	205	5.7E-30	T	04-07-2025	IPR003597	Immunoglobulin C1-set	-	-
6MI2_B	7462d08ddfb9199a61ea770a6a2864be	214	Pfam	PF07654	Immunoglobulin C1-set domain	117	201	2.3E-27	T	04-07-2025	IPR003597	Immunoglobulin C1-set	-	-
6MI2_B	7462d08ddfb9199a61ea770a6a2864be	214	ProSiteProfiles	PS50835	Ig-like domain profile.	1	87	7.848786	T	04-07-2025	IPR007110	Immunoglobulin-like domain	-	-
6MI2_B	7462d08ddfb9199a61ea770a6a2864be	214	ProSiteProfiles	PS50835	Ig-like domain profile.	115	209	14.346378	T	04-07-2025	IPR007110	Immunoglobulin-like domain	-	-
6MI2_B	7462d08ddfb9199a61ea770a6a2864be	214	Pfam	PF07686	Immunoglobulin V-set domain	5	108	4.1E-15	T	04-07-2025	IPR013106	Immunoglobulin V-set domain	-	-
6MI2_E	7462d08ddfb9199a61ea770a6a2864be	214	SMART	SM00406	igv1_8	17	89	1.3E-17	T	04-07-2025	IPR013106	Immunoglobulin V-set domain	-	-
6MI2_E	7462d08ddfb9199a61ea770a6a2864be	214	SMART	SM00409	IG_3c	7	108	6.7E-13	T	04-07-2025	IPR003599	Immunoglobulin domain subtype	-	-
6MI2_E	7462d08ddfb9199a61ea770a6a2864be	214	SMART	SM00409	IG_3c	121	209	48.0	T	04-07-2025	IPR003599	Immunoglobulin domain subtype	-	-
6MI2_E	7462d08ddfb9199a61ea770a6a2864be	214	SMART	SM00407	igc1_4	131	205	5.7E-30	T	04-07-2025	IPR003597	Immunoglobulin C1-set	-	-
6MI2_E	7462d08ddfb9199a61ea770a6a2864be	214	Pfam	PF07654	Immunoglobulin C1-set domain	117	201	2.3E-27	T	04-07-2025	IPR003597	Immunoglobulin C1-set	-	-
6MI2_E	7462d08ddfb9199a61ea770a6a2864be	214	ProSiteProfiles	PS50835	Ig-like domain profile.	1	87	7.848786	T	04-07-2025	IPR007110	Immunoglobulin-like domain	-	-
6MI2_E	7462d08ddfb9199a61ea770a6a2864be	214	ProSiteProfiles	PS50835	Ig-like domain profile.	115	209	14.346378	T	04-07-2025	IPR007110	Immunoglobulin-like domain	-	-
6MI2_E	7462d08ddfb9199a61ea770a6a2864be	214	Pfam	PF07686	Immunoglobulin V-set domain	5	108	4.1E-15	T	04-07-2025	IPR013106	Immunoglobulin V-set domain	-	-
7XDL_L	23af125c39a4863b86b93db10e6cf803	105	ProSiteProfiles	PS50835	Ig-like domain profile.	2	89	8.774421	T	04-07-2025	IPR007110	Immunoglobulin-like domain	-	-
7XDL_L	23af125c39a4863b86b93db10e6cf803	105	SMART	SM00406	igv1_8	18	90	8.8E-23	T	04-07-2025	IPR013106	Immunoglobulin V-set domain	-	-
7XDL_L	23af125c39a4863b86b93db10e6cf803	105	SMART	SM00409	IG_3c	8	105	8.7E-9	T	04-07-2025	IPR003599	Immunoglobulin domain subtype	-	-
7XDL_L	23af125c39a4863b86b93db10e6cf803	105	Pfam	PF07686	Immunoglobulin V-set domain	6	104	2.3E-16	T	04-07-2025	IPR013106	Immunoglobulin V-set domain	-	-
7XDL_J	23af125c39a4863b86b93db10e6cf803	105	ProSiteProfiles	PS50835	Ig-like domain profile.	2	89	8.774421	T	04-07-2025	IPR007110	Immunoglobulin-like domain	-	-
7XDL_J	23af125c39a4863b86b93db10e6cf803	105	SMART	SM00406	igv1_8	18	90	8.8E-23	T	04-07-2025	IPR013106	Immunoglobulin V-set domain	-	-
7XDL_J	23af125c39a4863b86b93db10e6cf803	105	SMART	SM00409	IG_3c	8	105	8.7E-9	T	04-07-2025	IPR003599	Immunoglobulin domain subtype	-	-
7XDL_J	23af125c39a4863b86b93db10e6cf803	105	Pfam	PF07686	Immunoglobulin V-set domain	6	104	2.3E-16	T	04-07-2025	IPR013106	Immunoglobulin V-set domain	-	-
7XDL_O	23af125c39a4863b86b93db10e6cf803	105	ProSiteProfiles	PS50835	Ig-like domain profile.	2	89	8.774421	T	04-07-2025	IPR007110	Immunoglobulin-like domain	-	-
